title,description,test_type,priority,status,preconditions,step_1_action,step_1_expected,step_2_action,step_2_expected,step_3_action,step_3_expected,step_4_action,step_4_expected,step_5_action,step_5_expected,tags,suite_name
"Verify destination table displays all destinations with SEO content","Validate that the destination table renders with all destinations that have SEO content and all data matches CMS records","functional_web","high","ready","Admin is logged into CMS dashboard; Navigate to Content Management System > SEO Content Management","Navigate to Destination Table page","Page loads successfully","Observe the table content","Table renders with all destinations that have SEO content","Verify data accuracy","All data matches CMS records accurately","","","","","destination,table,cms","Destination Management"
"Verify search functionality filters destinations by name","Test that typing in search field filters destination results instantly with partial name matching","functional_web","high","ready","Destination table is displayed with multiple entries","Locate the search input field","Search field is visible and active","Type partial country name (e.g. Thai)","Search filters results instantly","Observe filtered results","Results show destinations matching 'Thai' (e.g. Thailand); Partial name matches are supported","","","","","destination,search,cms","Destination Management"
"Verify destination table default sorting by last updated","Validate that destination table loads sorted by Last Updated column in descending order","functional_web","medium","ready","Destination table contains multiple entries with different update times","Load the Destination Table page","Page loads successfully","Observe the default order of destinations","Table is sorted by Last Updated column","Verify most recent first","Most recently updated destination appears first","","","","","destination,sorting,cms","Destination Management"
"Verify Add New Destination button opens dialog","Test that clicking Add New Destination button opens the country selection dialog","functional_web","high","ready","User is viewing the Destination Table","Locate the Add New Destination button","Button is visible on page","Click the button","New destination dialog opens","Observe dialog content","Dialog displays country selection interface","","","","","destination,dialog,cms","Destination Management"
"Verify status toggle switches between Live and Hidden","Validate that status toggle updates immediately and reflects on frontend correctly","functional_web","critical","ready","At least one destination exists in the table","Locate a destination with Hidden status","Destination row is visible","Click the status toggle switch","Toggle updates immediately to Live","Verify on frontend website","Live destinations appear on frontend; Hidden destinations do not appear on frontend","","","","","destination,status,toggle,cms","Destination Management"
"Verify Edit action opens content editor for selected destination","Test that clicking Edit button navigates to the correct destination content management page","functional_web","high","ready","Multiple destinations exist in the table","Locate a destination row","Row is visible","Click the Edit action button","System opens content editor","Verify correct destination","Editor displays content for the selected destination","","","","","destination,edit,cms","Destination Management"
"Verify Delete action removes destination permanently","Validate that Delete action removes destination from CMS and frontend permanently","functional_web","high","ready","At least one test destination exists that can be deleted","Select a destination to delete","Destination is selected","Click Delete action","Confirmation dialog appears","Confirm deletion in confirmation dialog","Destination is removed from CMS table","Check frontend website","Destination no longer appears on frontend","","","destination,delete,cms","Destination Management"
"Verify error state when no search results found","Test that appropriate error message displays when search returns no matches","functional_web","medium","ready","Destination table contains data","Type non-existent country name in search (e.g. ZZZZZ)","Text is entered in search field","Observe the result","System displays No results found message","Verify message visibility","Message is clearly visible to user","","","","","destination,search,error,cms","Destination Management"
"Verify country list loads from price config","Validate that Add New Destination dialog displays all countries from backend price configuration","functional_web","high","ready","Click Add New Destination button to open dialog","Observe the country list in the dialog","List displays all countries","Verify countries match backend price config","Data matches backend accurately","","","","","","","destination,country,dialog,cms","Destination Management"
"Verify countries are sorted alphabetically by default","Test that country list in dialog displays in alphabetical order A-Z","functional_web","low","ready","Add New Destination dialog is open","Observe the order of countries in the list","Countries are sorted A-Z by name","Verify first entry","Afghanistan or similar appears first alphabetically","","","","","","","destination,country,sorting,cms","Destination Management"
"Verify search filters country list instantly","Validate that typing in country search field filters list instantly with partial matching","functional_web","medium","ready","Dialog is open with full country list visible","Type partial country name in search field (e.g. indo)","Search field accepts input","Observe filtering behavior","List filters instantly as user types","Verify results","Partial matches are displayed (e.g. Indonesia)","","","","","destination,country,search,cms","Destination Management"
"Verify error state when country search has no matches","Test that appropriate error message displays when country search returns no results","functional_web","medium","ready","Dialog is open with search field available","Type non-existent country name (e.g. ZZZZZ)","Text is entered","Observe the result","System displays No results found message clearly","","","","","","","destination,country,search,error,cms","Destination Management"
"Verify already added countries show as Added","Validate that previously added countries display Added label in the selection list","functional_web","medium","ready","Some countries are already added as destinations","Scroll through country list","List is scrollable","Locate countries that were previously added","Previously added countries display Added label","Verify visual distinction","These countries are visually distinct from available ones","","","","","destination,country,added,cms","Destination Management"
"Verify already added countries are disabled/unselectable","Test that countries marked as Added cannot be selected again","functional_web","high","ready","Dialog displays countries with some marked as Added","Try to select a country marked as Added","Country cannot be selected","Verify radio button state","Radio button is disabled","Observe behavior","No selection occurs","","","","","destination,country,disabled,cms","Destination Management"
"Verify only one country can be selected at a time","Validate that radio button behavior allows only single country selection","functional_web","medium","ready","Dialog is open with multiple available countries","Select first available country","First country is selected","Attempt to select second country","Selecting new country deselects previous one","Verify radio button behavior","Radio button behavior is correct; only one selected","","","","","destination,country,selection,cms","Destination Management"
"Verify Add button is disabled by default","Test that Add button is in disabled state when dialog opens with no selection","functional_web","medium","ready","Dialog just opened with no country selected","Observe the Add button state","Add button is disabled","Verify visual state","Button appears grayed out or inactive","","","","","","","destination,dialog,button,cms","Destination Management"
"Verify Add button enables when country is selected","Validate that Add button becomes enabled after country selection","functional_web","high","ready","Dialog is open with Add button disabled","Select any available country","Country is selected via radio button","Observe Add button state change","Add button becomes enabled","Verify button is clickable","Button is clickable and active","","","","","destination,dialog,button,cms","Destination Management"
"Verify Add button redirects to content management page","Test that clicking Add button navigates to destination content editor","functional_web","high","ready","Country is selected and Add button is enabled","Click the Add button","Button click is registered","Observe navigation","System redirects to Content Management Page for the selected country","Verify correct context","Correct destination context is loaded","","","","","destination,dialog,redirect,cms","Destination Management"
"Verify sections table displays all added sections for country","Validate that sections table shows complete list of sections admin has added","functional_web","high","ready","User is on Content Management Page for specific destination; Some sections have been added","Navigate to Sections Tab","Tab is active","Observe the sections table","Table displays all sections that admin has added","Verify titles","Section titles match what will appear on frontend","","","","","section,table,cms","Section Management"
"Verify Add New Section button opens section type dialog","Test that clicking Add New Section button opens the selection dialog","functional_web","high","ready","User is viewing sections table","Click Add New Section button","Button click is registered","Observe the result","Section type selection dialog opens","Verify dialog content","Dialog displays 5 section types available","","","","","section,dialog,cms","Section Management"
"Verify drag-and-drop reordering of sections","Validate that sections can be reordered via drag-and-drop and order updates on frontend","functional_web","high","ready","Multiple sections exist in the table","Click and hold a section row","Row is grabbed","Drag to new position","Visual indicator shows drag operation","Release","Section moves to new position in table","Check frontend order","Frontend section order updates accordingly","","","section,reorder,drag-drop,cms","Section Management"
"Verify section status toggle between Live and Hide","Test that status toggle controls section visibility on frontend immediately","functional_web","critical","ready","Section exists with Live status","Click status toggle for a section","Toggle is clicked","Verify toggle updates to Hide","Toggle switches to Hide state","Check frontend website","Hide sections do not appear on frontend","Toggle back to Live and verify","Live sections appear on frontend","","","section,status,toggle,cms","Section Management"
"Verify last activity column shows correct status and timestamp","Validate that Last Activity column displays accurate status and timestamp","functional_web","medium","ready","Sections exist with various save states","Observe Last Activity column for multiple sections","Column is visible","Verify status matches actual state (Draft or Published)","Status is correct","Check timestamp accuracy","Timestamp reflects last save/publish action","","","","","section,status,timestamp,cms","Section Management"
