"title","description","test_type","priority","status","preconditions","step_1_action","step_1_expected","step_2_action","step_2_expected","step_3_action","step_3_expected","step_4_action","step_4_expected","step_5_action","step_5_expected","tags","suite_name"
"Verify Social Club landing page displays correctly for new users - ANDROID","Validate social club landing page displays correctly for new users","functional_android","high","ready","User is logged into RoaminRabbit Android app; User has never accessed Social Club before; User is not a Social Club member","Launch RoaminRabbit Android app","Step completes as expected","Navigate to Social Club section","Step completes as expected","Observe the landing page content","Landing page displays successfully with:
- Large full-width introductory image that changes every 1000ms
- Animated scroll indicator below headline
- 'About Section' showing current member count
- Display of 35 most recent members' profile pictures (only members with uploaded photos)
- Preview of upcoming events (earliest event from CMS)
- Up to 5 avatars of most recent member registrations
- 'X Participants' tag pulled from event management
- 'Request to Join' button visible at bottom (sticky placement)","","","","","social-club, introduction, ui-validation,android","Social Club Introduction"
"Verify Social Club landing page displays correctly for new users - IOS","Validate social club landing page displays correctly for new users","functional_ios","high","ready","User is logged into RoaminRabbit iOS app; User has never accessed Social Club before; User is not a Social Club member","Launch RoaminRabbit iOS app","Step completes as expected","Navigate to Social Club section","Step completes as expected","Observe the landing page content","Landing page displays successfully with:
- Large full-width introductory image that changes every 1000ms
- Animated scroll indicator below headline
- 'About Section' showing current member count
- Display of 35 most recent members' profile pictures (only members with uploaded photos)
- Preview of upcoming events (earliest event from CMS)
- Up to 5 avatars of most recent member registrations
- 'X Participants' tag pulled from event management
- 'Request to Join' button visible at bottom (sticky placement)","","","","","social-club, introduction, ui-validation,ios","Social Club Introduction"
"Verify 'Request to Join' button remains sticky on scroll - ANDROID","Validate 'request to join' button remains sticky on scroll","functional_android","medium","ready","User is on Social Club landing page; User is not an approved member","Scroll down through landing page sections","Step completes as expected","Observe 'Request to Join' button position","Step completes as expected","Scroll to bottom of page","Step completes as expected","Scroll back to top","Request to Join button:
- Remains visible at bottom of screen at all times during scroll
- Maintains sticky placement throughout all scroll sections
- Button is always accessible without needing to scroll back","","","social-club, ui-behavior, sticky-cta,android","Social Club Introduction"
"Verify 'Request to Join' button remains sticky on scroll - IOS","Validate 'request to join' button remains sticky on scroll","functional_ios","medium","ready","User is on Social Club landing page; User is not an approved member","Scroll down through landing page sections","Step completes as expected","Observe 'Request to Join' button position","Step completes as expected","Scroll to bottom of page","Step completes as expected","Scroll back to top","Request to Join button:
- Remains visible at bottom of screen at all times during scroll
- Maintains sticky placement throughout all scroll sections
- Button is always accessible without needing to scroll back","","","social-club, ui-behavior, sticky-cta,ios","Social Club Introduction"
"Verify Request to Join button hidden for approved members - ANDROID","Validate request to join button hidden for approved members","functional_android","high","ready","User is logged into RoaminRabbit Android app; User membershipStatus = Approved","Navigate to Social Club section","Step completes as expected","Scroll through landing page","Step completes as expected","Check for visibility of 'Request to Join' button","'Request to Join' button is hidden
User sees member-specific content instead (Social Club Home)","","","","","social-club, state-management, approved-member,android","Social Club Introduction"
"Verify Request to Join button hidden for approved members - IOS","Validate request to join button hidden for approved members","functional_ios","high","ready","User is logged into RoaminRabbit iOS app; User membershipStatus = Approved","Navigate to Social Club section","Step completes as expected","Scroll through landing page","Step completes as expected","Check for visibility of 'Request to Join' button","'Request to Join' button is hidden
User sees member-specific content instead (Social Club Home)","","","","","social-club, state-management, approved-member,ios","Social Club Introduction"
"Open Request to Join form modal when CTA clicked - ANDROID","Validate open request to join form modal when cta clicked","functional_android","high","ready","User is on Social Club landing page; User is not an approved member; 'Request to Join' button is visible","Tap on 'Request to Join' button","Step completes as expected","Observe modal behavior","Modal opens with membership request form containing:
- First Name field (prefilled if available)
- Last Name field (prefilled if available)
- WhatsApp Number field with country code selector (prefilled if available and user has done registration)
- Gender selection (single selection required)
- Age Group selection (single selection required)
- Submit button at bottom","","","","","","","social-club, modal, form-display,android","Request to Join Form"
"Open Request to Join form modal when CTA clicked - IOS","Validate open request to join form modal when cta clicked","functional_ios","high","ready","User is on Social Club landing page; User is not an approved member; 'Request to Join' button is visible","Tap on 'Request to Join' button","Step completes as expected","Observe modal behavior","Modal opens with membership request form containing:
- First Name field (prefilled if available)
- Last Name field (prefilled if available)
- WhatsApp Number field with country code selector (prefilled if available and user has done registration)
- Gender selection (single selection required)
- Age Group selection (single selection required)
- Submit button at bottom","","","","","","","social-club, modal, form-display,ios","Request to Join Form"
"Verify form fields prefilled with existing user data - ANDROID","Validate form fields prefilled with existing user data","functional_android","medium","ready","User is logged in with complete profile; User profile contains: First Name, Last Name, WhatsApp Number; User opens Request to Join form","Open 'Request to Join' form","Step completes as expected","Check First Name field value","Step completes as expected","Check Last Name field value","Step completes as expected","Check WhatsApp Number field value","Step completes as expected","Check Country Code selector","Form displays with:
- First Name prefilled with user's first name from profile
- Last Name prefilled with user's last name from profile
- WhatsApp Number prefilled with registered phone number
- Country code selector defaults to user's location","social-club, form-prefill, user-data,android","Request to Join Form"
"Verify form fields prefilled with existing user data - IOS","Validate form fields prefilled with existing user data","functional_ios","medium","ready","User is logged in with complete profile; User profile contains: First Name, Last Name, WhatsApp Number; User opens Request to Join form","Open 'Request to Join' form","Step completes as expected","Check First Name field value","Step completes as expected","Check Last Name field value","Step completes as expected","Check WhatsApp Number field value","Step completes as expected","Check Country Code selector","Form displays with:
- First Name prefilled with user's first name from profile
- Last Name prefilled with user's last name from profile
- WhatsApp Number prefilled with registered phone number
- Country code selector defaults to user's location","social-club, form-prefill, user-data,ios","Request to Join Form"
